ID,Date/Time,Categoria,Publicacion,Hora,Lat,Lon
242.0,7/15/2017,Asalto,Lunes,21:15,18.82591902877696,-97.24327474820146
243.0,7/22/2017,Robo,Domingo,11:00,18.816412,-97.234309
244.0,7/23/2017,Secuestro,Lunes,3:30,18.82591902877696,-97.24327474820146
245.0,7/22/2017,Robo,Jueves,17:00,18.823210999999997,-97.247864
246.0,7/26/2017,Robo,Jueves,8:30,18.847148999999998,-97.073018
247.0,7/26/2017,Robo,Jueves,8:00,18.82591902877696,-97.24327474820146
248.0,7/27/2017,Robo,Viernes,8:00,18.823210999999997,-97.247864
249.0,7/28/2017,Ejecución,Sábado,8:30,18.829573,-97.2559
250.0,7/28/2017,Ejecución,Domingo,9:00,18.829573,-97.2559
251.0,7/30/2017,Robo,Lunes,8:00,18.82591902877696,-97.24327474820146
252.0,7/30/2017,Asalto,Martes,22:00,18.82591902877696,-97.24327474820146
253.0,7/31/2017,Robo,Miércoles,17:00,18.82591902877696,-97.24327474820146
254.0,8/1/2017,Robo,Jueves,6:30,18.82591902877696,-97.24327474820146
255.0,,Robo,Viernes,3:00,18.816412,-97.234309
256.0,8/3/2017,Tren,Viernes,17:30,18.82591902877696,-97.24327474820146
257.0,8/3/2017,Robo,Sábado,17:00,18.829573,-97.2559
258.0,8/4/2017,Asalto,Domingo,21:00,18.816412,-97.234309
259.0,8/10/2017,Robo,Lunes,3:00,18.82591902877696,-97.24327474820146
260.0,8/10/2017,Robo,Lunes,9:00,18.816412,-97.234309
261.0,8/12/2017,Asalto,Lunes,22:00,18.82591902877696,-97.24327474820146
262.0,8/22/2017,Robo,Miércoles,9:00,18.82591902877696,-97.24327474820146
263.0,8/22/2017,Robo,Jueves,17:00,18.829573,-97.2559
264.0,8/24/2017,,Viernes,9:45,18.82591902877696,-97.24327474820146
265.0,9/2/2017,Asalto,Domingo,19:30,18.82591902877696,-97.24327474820146
266.0,9/4/2017,Enfrentamiento,Martes,17:00,18.82591902877696,-97.24327474820146
267.0,9/4/2017,Asalto,Miércoles,22:30,18.816412,-97.234309
268.0,9/4/2017,Robo,Miércoles,22:30,18.816412,-97.234309
269.0,,Robo,Viernes,3:00,18.82591902877696,-97.24327474820146
270.0,,Robo,Domingo,3:00,18.82591902877696,-97.24327474820146
271.0,9/10/2017,Enfrentamiento,Lunes,16:30,18.847148999999998,-97.073018
272.0,9/19/2017,Secuestro,Miércoles,11:00,18.82591902877696,-97.24327474820146
273.0,,Robo,Lunes,23:50,18.82591902877696,-97.24327474820146
274.0,9/26/2017,Ejecución,Miércoles,17:00,18.82591902877696,-97.24327474820146
275.0,9/27/2017,Ejecución,Jueves,10:15,18.82591902877696,-97.24327474820146
