ID,Fecha_Publicacion,Fecha_Incidente,Categoria,Publicacion,Distrito_Policiaco,Direccion,Hora,Latitud,Longitud,Coordenadas,Arrestos,Descripcion,Motivo,,,,,,,,,,,,,
143,10/01/17,1/7/2017,Robo,Martes,Veracruz,Maltrata,3:00,18.823211,-97.247864,,2,Detienen a 2 sujetos que acababan de robar tráiler,,,,,,,,,,,,,,
144,11/01/17,1/10/2017,Ejecución,Miércoles,Veracruz,Maltrata,3:00,18.823211,-97.247864,,0,Asesinan a sujeto secuestrado,,,,,,,,,,,,,,
145,13/01/17,1/10/2017,Robo,Viernes,Veracruz,km 247,21:00,,,,0,Roban camioneta con refacciones,,,,,,,,,,,,,,
146,15/01/17,1/13/2017,Robo,Domingo,Veracruz,"Gasolinera Las Gemelas, Orizaba, km 275",21:00,,,,0,Roban tráiler con arroz,,,,,,,,,,,,,,
147,16/01/17,1/14/2017,Robo,Lunes,Veracruz,Maltrata,3:00,,,,0,Roban pipa con sustancia química,,,,,,,,,,,,,,
148,18/01/17,1/16/2017,Robo,Miércoles,Veracruz,Buenavista,3:00,,,,3,Roban tráiler con leche ,,,,,,,,,,,,,,
149,18/01/17,1/16/2017,Asalto,Miércoles,Veracruz,"Balastrera, km 248",1:00,18.816412,-97.234309,,0,Interceptan tráiler y al no ser de su interés la carga lo liberan,,,,,,,,,,,,,,
150,20/01/17,1/19/2017,Robo,Viernes,Veracruz,"San Cristóbal, Huiloapan km 261",9:00,,,,0,Roban tráiler con cerveza,,,,,,,,,,,,,,
151,20/01/17,1/17/2017,Robo,Viernes,Veracruz,km 260,20:45,,,,0,Roban tráiler,,,,,,,,,,,,,,
152,20/01/17,1/19/2017,Robo,Viernes,Veracruz,"Balastrera, km 248",6:50,18.816412,-97.234309,,0,Roban tráiler de transportista,,,,,,,,,,,,,,
153,25/01/17,1/15/2017,Robo,Miércoles,Veracruz,km 259,5:50,,,,0,Roban tráiler,,,,,,,,,,,,,,
154,27/01/17,1/25/2017,Robo,Viernes,Veracruz,"La Estancia, km 239",21:00,18.829573,-97.255900,,0,Roban tráiler con abarrotes,,,,,,,,,,,,,,
155,28/01/17,1/26/2017,Robo,Sábado,Veracruz,"Balastrera, km 248",2:20,18.816412,-97.234309,,0,Roban tráiler con salsa,,,,,,,,,,,,,,
156,28/01/17,1/25/2017,Robo,Sábado,Veracruz,km 252,13:15,,,,0,Roban tráiler de transportista,,,,,,,,,,,,,,
